family,genus,table1,species,level,number,Remove
Asphodelaceae,Eremurus,no,Eremurus anisopterus,species,17,
Asphodelaceae,Eremurus,no,Eremurus inderiensis,species,12,
Asphodelaceae,Eremurus,no,Eremurus spp.,genus,NA,
Polemoniaceae,Eriastrum,no,Eriastrum abramsii,species,3,
Polemoniaceae,Eriastrum,no,Eriastrum densifolium,species,18,
Polemoniaceae,Eriastrum,no,Eriastrum densifolium,species,12,
Polemoniaceae,Eriastrum,no,Eriastrum diffusum,species,12,
Polemoniaceae,Eriastrum,no,Eriastrum eremicum,species,9,
Polemoniaceae,Eriastrum,no,Eriastrum filifolium,species,13.5,
Polemoniaceae,Eriastrum,no,Eriastrum hooveri,species,7.5,
Polemoniaceae,Eriastrum,no,Eriastrum luteum,species,4.5,
Polemoniaceae,Eriastrum,no,Eriastrum luteum,species,3.9,
Polemoniaceae,Eriastrum,no,Eriastrum pluriflorum,species,9,
Polemoniaceae,Eriastrum,no,Eriastrum sapphirinum,species,NA,
Polemoniaceae,Eriastrum,no,Eriastrum sapphirinum,species,3,
Polemoniaceae,Eriastrum,no,Eriastrum sapphirinum,species,12.8,
Polemoniaceae,Eriastrum,no,Eriastrum sparsiflorum,species,12,
Polemoniaceae,Eriastrum,no,Eriastrum tracyi,species,4.5,
Polemoniaceae,Eriastrum,no,Eriastrum wilcoxii,species,9,
Asteraceae,Erigeron,no,Erigeron andicola,species,1,
Asteraceae,Erigeron,no,Erigeron leptopetalus,species,1,yes
Asteraceae,Erigeron,no,Erigeron leptopetalus,species,1,
Rosaceae,Eriobotrya,no,Eriobotrya spp.,genus,7,
Eriocaulaceae,Eriocaulon,no,Eriocaulon panamense,species,3,
Eriocaulaceae,Eriocaulon,no,Eriocaulon seemannii,species,2,
Eriocaulaceae,Eriocaulon,no,Eriocaulon woodsonianum,species,2,
Asteraceae,Eriophyllum,no,Eriophyllum lanatum,species,1,
Asteraceae,Eriophyllum,no,Eriophyllum lanatum,species,1,yes
Thymelaeaceae,Eriosolena,no,Eriosolena spp.,genus,1,
Cactaceae,Eriosyce,no,Eriosyce curvispina,species,842.6,
Boraginaceae,Eritrichium,no,Eritrichium spp.,family,4,
Rubiaceae,Ernodea,no,Ernodea littoralis,species,NA,
Rubiaceae,Ernodea,no,Ernodea littoralis,species,NA,
Rubiaceae,Ernodea,no,Ernodea littoralis,species,2,
Rubiaceae,Ernodea,no,Ernodea spp.,genus,2,
Geraniaceae,Erodium,no,Erodium absinthoides,species,5,
Geraniaceae,Erodium,no,Erodium absinthoides,species,5,
Geraniaceae,Erodium,no,Erodium acaule,species,5,
Geraniaceae,Erodium,no,Erodium aguilellae,species,5,
Geraniaceae,Erodium,no,Erodium alnifolium,species,5,
Geraniaceae,Erodium,no,Erodium alpinum,species,5,
Geraniaceae,Erodium,no,Erodium asplenioides,species,5,
Geraniaceae,Erodium,no,Erodium astragaloides,species,5,
Geraniaceae,Erodium,no,Erodium atlanticum,species,5,
Geraniaceae,Erodium,no,Erodium aureum,species,5,
Geraniaceae,Erodium,no,Erodium beketowii,species,5,
Geraniaceae,Erodium,no,Erodium boissieri,species,5,
Geraniaceae,Erodium,no,Erodium botrys,species,5,
Geraniaceae,Erodium,no,Erodium brachycarpum,species,5,
Geraniaceae,Erodium,no,Erodium carvifolium,species,5,
Geraniaceae,Erodium,no,Erodium cazorlanum,species,5,
Geraniaceae,Erodium,no,Erodium cedrorum,species,5,
Geraniaceae,Erodium,no,Erodium cheilanthifolium,species,5,
Geraniaceae,Erodium,no,Erodium chium,species,5,
Geraniaceae,Erodium,no,Erodium chrysanthum,species,5,
Geraniaceae,Erodium,no,Erodium ciconium,species,5,
Geraniaceae,Erodium,no,Erodium cicutarium,species,5,
Geraniaceae,Erodium,no,Erodium corsicum,species,5,
Geraniaceae,Erodium,no,Erodium crassifolium,species,5,
Geraniaceae,Erodium,no,Erodium crinitum,species,5,
Geraniaceae,Erodium,no,Erodium cygnorum,species,5,
Geraniaceae,Erodium,no,Erodium cygnorum,species,5,
Geraniaceae,Erodium,no,Erodium daucoides,species,5,
Geraniaceae,Erodium,no,Erodium daucoides,species,5,
Geraniaceae,Erodium,no,Erodium gaillardotii,species,5,
Geraniaceae,Erodium,no,Erodium geoides,species,5,
Geraniaceae,Erodium,no,Erodium glandulosum,species,5,
Geraniaceae,Erodium,no,Erodium glandulosum,species,5,
Geraniaceae,Erodium,no,Erodium glaucophyllum,species,5,
Geraniaceae,Erodium,no,Erodium gruinum,species,5,
Geraniaceae,Erodium,no,Erodium hendrikii,species,5,
Geraniaceae,Erodium,no,Erodium hoefftianum,species,5,
Geraniaceae,Erodium,no,Erodium jahandiezianum,species,5,
Geraniaceae,Erodium,no,Erodium janszii,species,5,
Geraniaceae,Erodium,no,Erodium malacoides,species,5,
Geraniaceae,Erodium,no,Erodium manescavi,species,5,
Geraniaceae,Erodium,no,Erodium maritimum,species,5,
Geraniaceae,Erodium,no,Erodium moschatum,species,5,
Geraniaceae,Erodium,no,Erodium moureti,species,5,
Geraniaceae,Erodium,no,Erodium nervulosum,species,5,
Geraniaceae,Erodium,no,Erodium neuradifolium,species,5,
Geraniaceae,Erodium,no,Erodium oxyrhinchum,species,5,
Geraniaceae,Erodium,no,Erodium pelargoniflorum,species,5,
Geraniaceae,Erodium,no,Erodium recoderi,species,5,
Geraniaceae,Erodium,no,Erodium reichardii,species,5,
Geraniaceae,Erodium,no,Erodium rupestre,species,5,
Geraniaceae,Erodium,no,Erodium rupicola,species,5,
Geraniaceae,Erodium,no,Erodium sanguis-christi,species,5,
Geraniaceae,Erodium,no,Erodium sebaceum,species,5,
Geraniaceae,Erodium,no,Erodium somanum,species,5,
Geraniaceae,Erodium,no,Erodium spp.,genus,10,
Geraniaceae,Erodium,no,Erodium stephanianum,species,5,
Geraniaceae,Erodium,no,Erodium tataricum,species,5,
Geraniaceae,Erodium,no,Erodium texanum,species,5,
Geraniaceae,Erodium,no,Erodium tordylioides,species,5,
Geraniaceae,Erodium,no,Erodium touchyanum,species,5,
Geraniaceae,Erodium,no,Erodium trichomanefolium,species,5,
Fabaceae,Erophaca,no,Erophaca baetica,species,7.910862,
Brassicaceae,Eruca,no,Eruca spp.,genus,30,
Brassicaceae,Eruca,no,Eruca vesicaria,species,31,
Brassicaceae,Eruca,no,Eruca vesicaria,species,26.3,
Brassicaceae,Erucaria,no,Erucaria hispanica,species,7,
Brassicaceae,Erucaria,no,Erucaria pinnata,species,4.6,
Brassicaceae,Erucaria,no,Erucaria pinnata,species,8.8,
Brassicaceae,Erucaria,no,Erucaria rostrata,species,4.1,
Apiaceae,Eryngium,no,Eryngium alpinum,species,2,
Apiaceae,Eryngium,no,Eryngium maritimum,species,2,
Apiaceae,Eryngium,no,Eryngium spp.,genus,1,
Brassicaceae,Erysimum,no,Erysimum crassipes,species,28.5,
Brassicaceae,Erysimum,no,Erysimum nevadense,species,36.4,
Brassicaceae,Erysimum,no,Erysimum nevadense,species,NA,
Brassicaceae,Erysimum,no,Erysimum nevadense,species,35.9,
Brassicaceae,Erysimum,no,Erysimum repandum,species,40.3,
Fabaceae,Erythrina,no,Erythrina falcata,species,7.4,
Fabaceae,Erythrina,no,Erythrina falcata,species,7,
Fabaceae,Erythrina,no,Erythrina stricta,species,7,
Fabaceae,Erythrina,no,Erythrina vespertilio,species,10,yes
Fabaceae,Erythrina,no,Erythrina vespertilio,species,10,
Liliaceae,Erythronium,no,Erythronium americanum,species,44.7713304,yes
Liliaceae,Erythronium,no,Erythronium americanum,species,44.8,
Liliaceae,Erythronium,no,Erythronium grandiflorum,species,59.9791076,yes
Liliaceae,Erythronium,no,Erythronium grandiflorum,species,60,
Liliaceae,Erythronium,no,Erythronium grandiflorum,species,NA,
Liliaceae,Erythronium,no,Erythronium grandiflorum,species,57.6,
Liliaceae,Erythronium,no,Erythronium grandiflorum,species,60,yes
Liliaceae,Erythronium,no,Erythronium japonicum,species,38.7,
Liliaceae,Erythronium,no,Erythronium umbilicatum,species,29.2,yes
Liliaceae,Erythronium,no,Erythronium umbilicatum,species,29.2,
Fabaceae,Erythrophleum,no,Erythrophleum africanum,species,6.4,
Fabaceae,Erythrophleum,no,Erythrophleum chlorostachys,species,7.1,
Fabaceae,Erythrophleum,no,Erythrophleum chlorostachys,species,10,
Fabaceae,Erythrophleum,no,Erythrophleum coumingo,species,7.6,
Fabaceae,Erythrophleum,no,Erythrophleum fordii,species,8.4,
Fabaceae,Erythrophleum,no,Erythrophleum suaveolens,species,10.6,
Erythroxylaceae,Erythroxylum,no,Erythroxylum australe,species,3,
Erythroxylaceae,Erythroxylum,no,Erythroxylum australe,species,3,
Escalloniaceae,Escallonia,no,Escallonia callcottiae,species,45,
Escalloniaceae,Escallonia,no,Escallonia callcottiae,species,45,yes
Escalloniaceae,Escallonia,no,Escallonia callcottiae,species,NA,
Papaveraceae,Eschscholzia,no,Eschscholzia californica,species,92,
Papaveraceae,Eschscholzia,no,Eschscholzia californica,species,92,yes
Asteraceae,Espeletia,no,Espeletia grandiflora,species,1,
Santalaceae,Eubrachion,no,Eubrachion spp.,genus,2.5,
Brassicaceae,Euclidium,no,Euclidium spp.,genus,2,
Loasaceae,Eucnide,no,Eucnide spp.,genus,NA,
Eucommiaceae,Eucommia,no,Eucommia spp.,genus,1,
Cunoniaceae,Eucryphia,no,Eucryphia spp.,genus,5,
Myrtaceae,Eugenia,no,Eugenia reinwardtiana,species,11,yes
Myrtaceae,Eugenia,no,Eugenia reinwardtiana,species,11,
Myrtaceae,Eugenia,no,Eugenia speciosa,species,24,
Celastraceae,Euonymus,no,Euonymus spp.,genus,9,
Euphorbiaceae,Euphorbia,no,Euphorbia paralias,species,3,
Euphorbiaceae,Euphorbia,no,Euphorbia spp.,genus,3,
Orobanchaceae,Euphrasia,no,Euphrasia pectinata,species,39,
Orobanchaceae,Euphrasia,no,Euphrasia regelii,species,38.9941987,yes
Orobanchaceae,Euphrasia,no,Euphrasia regelii,species,39,
Orobanchaceae,Euphrasia,no,Euphrasia regelii,species,39,yes
Eupomatiaceae,Eupomatia,no,Eupomatia spp.,genus,NA,
Eupteleaceae,Euptelea,no,Euptelea spp.,genus,2,
Anacardiaceae,Euroschinus,no,Euroschinus falcatus,species,1,yes
Anacardiaceae,Euroschinus,no,Euroschinus falcatus,species,1,
Pentaphylacaceae,Eurya,no,Eurya spp.,genus,NA,
Nymphaeaceae,Euryale,no,Euryale spp.,genus,NA,
Sapindaceae,Eurycorymbus,no,Eurycorymbus spp.,genus,1,
Asparagaceae,Eustrephus,no,Eustrephus latifolius,species,43,yes
Asparagaceae,Eustrephus,no,Eustrephus latifolius,species,43,
Arecaceae,Euterpe,no,Euterpe precatoria,species,1,
Arecaceae,Euterpe,no,Euterpe spp.,family,2,
Stilbaceae,Euthystachys,no,Euthystachys spp.,genus,2,
Brassicaceae,Eutrema,no,Eutrema spp.,genus,6,
Brassicaceae,Eutrema,no,Eutrema spp.,genus,6,
Brassicaceae,Eutrema,no,Eutrema spp.,genus,25,
Brassicaceae,Eutrema,no,Eutrema spp.,genus,NA,
Cyclanthaceae,Evodianthus,no,Evodianthus funifer,species,343.21,
Convolvulaceae,Evolvulus,no,Evolvulus alsinoides,species,4,
Convolvulaceae,Evolvulus,no,Evolvulus nummularius,species,4,
Gentianaceae,Exacum,no,Exacum spp.,genus,NA,
Hamamelidaceae,Exbucklandia,no,Exbucklandia spp.,genus,11,
Santalaceae,Exocarpos,no,Exocarpos latifolius,species,5,
Rosaceae,Exochorda,no,Exochorda spp.,genus,7.5,
Fagaceae,Fagus,no,Fagus spp.,family,9,
Fagaceae,Fagus,no,Fagus spp.,genus,4.5,
Fabaceae,Falcataria,no,Falcataria toona,species,8,
Rubiaceae,Faramea,no,Faramea occidentalis,species,2,
Brassicaceae,Farsetia,no,Farsetia aegyptia,species,29.1,
Moraceae,Fatoua,no,Fatoua spp.,family,1.5,
Hydrangeaceae,Fendlera,no,Fendlera spp.,genus,20,
Rutaceae,Feronia,no,Feronia limonia,species,79,
Poaceae,Festuca,no,Festuca campestris,species,1,
Poaceae,Festuca,no,Festuca spp.,family,1,
Brassicaceae,Fibigia,no,Fibigia clypeata,species,11.1,
Moraceae,Ficus,no,Ficus carica,species,1,
Moraceae,Ficus,no,Ficus spp.,family,1.5,
Moraceae,Ficus,no,Ficus spp.,genus,1,
Rosaceae,Filipendula,no,Filipendula spp.,genus,1.5,
Rosaceae,Filipendula,no,Filipendula spp.,genus,2,
Salicaceae,Flacourtia,no,Flacourtia spp.,family,11,
Flagellariaceae,Flagellaria,no,Flagellaria spp.,genus,3,
Fabaceae,Flemingia,no,Flemingia spp.,genus,2,
Rutaceae,Flindersia,no,Flindersia collina,species,15,yes
Rutaceae,Flindersia,no,Flindersia collina,species,15,
Limnanthaceae,Floerkea,no,Floerkea spp.,family,3,
Phyllanthaceae,Flueggea,no,Flueggea leucopyrus,species,6,yes
Phyllanthaceae,Flueggea,no,Flueggea leucopyrus,species,6,
Phyllanthaceae,Flueggea,no,Flueggea virosa,species,6,yes
Phyllanthaceae,Flueggea,no,Flueggea virosa,species,6,
Phyllanthaceae,Flueggea,no,Flueggea virosa,species,5,
Apocynaceae,Forsteronia,no,Forsteronia spp.,genus,NA,
Fouquieriaceae,Fouquieria,no,Fouquieria spp.,genus,13,
Rosaceae,Fragaria,no,Fragaria spp.,genus,1,
Rosaceae,Fragaria,no,Fragaria virginiana,species,90,yes
Rosaceae,Fragaria,no,Fragaria virginiana,species,64.1,yes
Rosaceae,Fragaria,no,Fragaria virginiana,species,1,yes
Francoaceae,Francoa,no,Francoa spp.,genus,NA,
Frankeniaceae,Frankenia,no,Frankenia spp.,genus,4.5,
Oleaceae,Fraxinus,no,Fraxinus spp.,family,4,
Pandanaceae,Freycinetia,no,Freycinetia spp.,genus,NA,
Cistaceae,Fumana,no,Fumana laevis,species,6,
Apocynaceae,Funastrum,no,Funastrum cynanchoides,species,60.7,yes
Apocynaceae,Funastrum,no,Funastrum cynanchoides,species,60.7,
Asparagaceae,Furcraea,no,Furcraea spp.,genus,NA,
Rubiaceae,Gaertnera,no,Gaertnera vaginata,species,1.99986187,yes
Rubiaceae,Gaertnera,no,Gaertnera vaginata,species,2,
Liliaceae,Gagea,no,Gagea spp.,genus,NA,
Liliaceae,Gagea,no,Gagea spp.,genus,NA,
Fabaceae,Galactia,no,Galactia latisiliqua,species,8.19,
Diapensiaceae,Galax,no,Galax spp.,genus,20,
Himantandraceae,Galbulimima,no,Galbulimima spp.,genus,26.25,
Orchidaceae,Galearis,no,Galearis rotundifolia,species,5160,
Brassicaceae,Galitzkya,no,Galitzkya spp.,genus,10,
Rubiaceae,Galium,no,Galium boreale,species,2,yes
Rubiaceae,Galium,no,Galium boreale,species,1,
Rubiaceae,Galium,no,Galium boreale,species,2,
Rubiaceae,Galium,no,Galium spp.,genus,2,
Malpighiaceae,Galphimia,no,Galphimia spp.,genus,3,
Calyceraceae,Gamocarpha,no,Gamocarpha compacta,species,34.94,
Calyceraceae,Gamocarpha,no,Gamocarpha scapigera,species,1,
Asteraceae,Gamochaeta,no,Gamochaeta sp.,species,1,
Euphorbiaceae,Garcia,no,Garcia spp.,genus,3,
Clusiaceae,Garcinia,no,Garcinia imberti,species,2,
Rubiaceae,Gardenia,no,Gardenia spp.,genus,NA,
Garryaceae,Garrya,no,Garrya spp.,genus,2,
Burseraceae,Garuga,no,Garuga floribunda,species,10,yes
Burseraceae,Garuga,no,Garuga floribunda,species,10,
Orchidaceae,Gastrodia,no,Gastrodia cunninghamii,species,11400,
Ericaceae,Gaultheria,no,Gaultheria pumila,species,70.9577768,yes
Ericaceae,Gaultheria,no,Gaultheria pumila,species,71,
Ericaceae,Gaultheria,no,Gaultheria racemulosa,species,109,
Ericaceae,Gaultheria,no,Gaultheria racemulosa,species,109,
Ericaceae,Gaultheria,no,Gaultheria racemulosa,species,109.01,
Onagraceae,Gayophytum,no,Gayophytum humile,species,28.33,
Onagraceae,Gayophytum,no,Gayophytum micranthum,species,3.71,
Rutaceae,Geijera,no,Geijera salicifolia,species,10,yes
Rutaceae,Geijera,no,Geijera salicifolia,species,10,
Gelsemiaceae,Gelsemium,no,Gelsemium spp.,genus,NA,
Fabaceae,Genista,no,Genista anglica,species,17.95947,
Fabaceae,Genista,no,Genista anglica,species,4.45,
Fabaceae,Genista,no,Genista anglica,species,17.9,
Fabaceae,Genista,no,Genista cilentina,species,5.8,
Fabaceae,Genista,no,Genista cilentina,species,6,
Fabaceae,Genista,no,Genista cinerascens,species,6.815096,
Fabaceae,Genista,no,Genista cinerascens,species,6.82,yes
Fabaceae,Genista,no,Genista cinerea,species,5.9,yes
Fabaceae,Genista,no,Genista cinerea,species,5.9,
Fabaceae,Genista,no,Genista cinerea,species,6.87,
Fabaceae,Genista,no,Genista falcata,species,22.31454,
Fabaceae,Genista,no,Genista falcata,species,22.8,yes
Fabaceae,Genista,no,Genista falcata,species,4.8,
Fabaceae,Genista,no,Genista falcata,species,22.8,
Fabaceae,Genista,no,Genista falcata,species,22.6,
Fabaceae,Genista,no,Genista falcata,species,22.8,yes
Fabaceae,Genista,no,Genista florida,species,6.780966,
Fabaceae,Genista,no,Genista florida,species,6.78,
Fabaceae,Genista,no,Genista florida,species,6.8,
Fabaceae,Genista,no,Genista haensleri,species,8.3,yes
Fabaceae,Genista,no,Genista haensleri,species,8.3,
Fabaceae,Genista,no,Genista hirsuta,species,6.495243,
Fabaceae,Genista,no,Genista hirsuta,species,6.49,yes
Fabaceae,Genista,no,Genista hirsuta,species,6.47,
Fabaceae,Genista,no,Genista januensis,species,9.3,
Fabaceae,Genista,no,Genista linifolia,species,4,yes
Fabaceae,Genista,no,Genista linifolia,species,4,
Fabaceae,Genista,no,Genista monspessulana,species,7.8,yes
Fabaceae,Genista,no,Genista monspessulana,species,7.8,
Fabaceae,Genista,no,Genista polyanthos,species,7.114405,
Fabaceae,Genista,no,Genista polyanthos,species,6.6,yes
Fabaceae,Genista,no,Genista polyanthos,species,7.11,yes
Fabaceae,Genista,no,Genista polyanthos,species,6.6,
Fabaceae,Genista,no,Genista polyanthos,species,7.4,
Fabaceae,Genista,no,Genista polyanthos,species,6.6,yes
Fabaceae,Genista,no,Genista radiata,species,4.7,
Fabaceae,Genista,no,Genista radiata,species,4.4,
Fabaceae,Genista,no,Genista tinctoria,species,10,
Fabaceae,Genista,no,Genista tournefortii,species,3.642325,
Fabaceae,Genista,no,Genista tournefortii,species,3.64,yes
Fabaceae,Genista,no,Genista tournefortii,species,3.8,
Fabaceae,Genista,no,Genista triacanthos,species,4.146217,
Fabaceae,Genista,no,Genista triacanthos,species,4.4,yes
Fabaceae,Genista,no,Genista triacanthos,species,4.15,yes
Fabaceae,Genista,no,Genista triacanthos,species,4.4,
Fabaceae,Genista,no,Genista tridentata,species,4.104616,
Fabaceae,Genista,no,Genista tridentata,species,5.3,yes
Fabaceae,Genista,no,Genista tridentata,species,4.1,yes
Fabaceae,Genista,no,Genista tridentata,species,5.3,
Fabaceae,Genista,no,Genista tridentata,species,4.27,
Fabaceae,Genista,no,Genista umbellata,species,4.565277,
Fabaceae,Genista,no,Genista umbellata,species,4.7,yes
Fabaceae,Genista,no,Genista umbellata,species,4.57,yes
Fabaceae,Genista,no,Genista umbellata,species,4.7,
Fabaceae,Genista,no,Genista umbellata,species,4.6,
Gentianaceae,Gentiana,no,Gentiana cruciata,species,137,
Gentianaceae,Gentiana,no,Gentiana dahurica,species,160.92,
Gentianaceae,Gentiana,no,Gentiana haynaldii,species,425.598413,yes
Gentianaceae,Gentiana,no,Gentiana haynaldii,species,426,
Gentianaceae,Gentiana,no,Gentiana haynaldii,species,426,yes
Gentianaceae,Gentiana,no,Gentiana leucomelaena,species,74,
Gentianaceae,Gentiana,no,Gentiana prostrata,species,61.44,
Gentianaceae,Gentiana,no,Gentiana straminea,species,249,
Gentianaceae,Gentianella,no,Gentianella azurea,species,155,
Gentianaceae,Gentianella,no,Gentianella germanica,species,70.7,yes
Gentianaceae,Gentianella,no,Gentianella germanica,species,70.7,
Arecaceae,Geonoma,no,Geonoma simplicifrons,species,0.5,
Arecaceae,Geonoma,no,Geonoma spinescens,species,0.5,
Geraniaceae,Geranium,no,Geranium berteroanum,species,9.83,
Geraniaceae,Geranium,no,Geranium maculatum,species,5,
Geraniaceae,Geranium,no,Geranium richardsonii,species,10,yes
Geraniaceae,Geranium,no,Geranium richardsonii,species,10,
Geraniaceae,Geranium,no,Geranium sessiliflorum,species,10,
Geraniaceae,Geranium,no,Geranium sessiliflorum,species,7.8704579,yes
Geraniaceae,Geranium,no,Geranium sessiliflorum,species,7.88,
Geraniaceae,Geranium,no,Geranium sibiricum,species,5.00034535,yes
Geraniaceae,Geranium,no,Geranium sibiricum,species,5,
Geraniaceae,Geranium,no,Geranium sibiricum,species,5,yes
Geraniaceae,Geranium,no,Geranium viscosissimum,species,10,yes
Geraniaceae,Geranium,no,Geranium viscosissimum,species,10,
Geraniaceae,Geranium,no,Geranium viscosissimum,species,10,
Asteraceae,Gerbera,no,Gerbera spp.,family,1,
Rosaceae,Geum,no,Geum quellyon,species,1161.44861,yes
Rosaceae,Geum,no,Geum quellyon,species,1162.5,
Rosaceae,Geum,no,Geum rivale,species,1,
Rosaceae,Geum,no,Geum spp.,genus,1,
Rosaceae,Geum,no,Geum spp.,family,NA,
Polemoniaceae,Gilia,no,Gilia achilleifolia,species,519.19,
Polemoniaceae,Gilia,no,Gilia achilleifolia,species,16.75,
Polemoniaceae,Gilia,no,Gilia achilleifolia,species,NA,
Polemoniaceae,Gilia,no,Gilia achilleifolia,species,16.1,
Polemoniaceae,Gilia,no,Gilia capitata,species,4,
Polemoniaceae,Gilia,no,Gilia capitata,species,4,yes
Polemoniaceae,Gilia,no,Gilia crassifolia,species,8.92,
Polemoniaceae,Gilia,no,Gilia inconspicua,species,11.2,
Polemoniaceae,Gilia,no,Gilia inconspicua,species,NA,
Polemoniaceae,Gilia,no,Gilia laciniata,species,14.4,
Polemoniaceae,Gilia,no,Gilia latiflora,species,26.5,
Polemoniaceae,Gilia,no,Gilia latiflora,species,NA,
Polemoniaceae,Gilia,no,Gilia minor,species,17.9,
Polemoniaceae,Gilia,no,Gilia minor,species,21.92,
Polemoniaceae,Gilia,no,Gilia minor,species,NA,
Polemoniaceae,Gilia,no,Gilia sinuata,species,12,
Polemoniaceae,Gilia,no,Gilia tenuiflora,species,16,
Polemoniaceae,Gilia,no,Gilia tricolor,species,8.5,
Polemoniaceae,Giliastrum,no,Giliastrum rigidulum,species,111,
Amaryllidaceae,Gilliesia,no,Gilliesia miersioides,species,10.92,
Urticaceae,Girardinia,no,Girardinia spp.,family,1,
Cannabaceae,Gironniera,no,Gironniera spp.,family,1,
Campanulaceae,Githopsis,no,Githopsis specularioides,species,122,
Campanulaceae,Githopsis,no,Githopsis specularioides,species,122,yes
Iridaceae,Gladiolus,no,Gladiolus spp.,genus,NA,
Ranunculaceae,Glaucidium,no,Glaucidium spp.,genus,NA,
Lamiaceae,Glechoma,no,Glechoma spp.,genus,4,
Fabaceae,Gliricidia,no,Gliricidia spp.,genus,NA,
Zingiberaceae,Globba,no,Globba racemosa,species,NA,
Zingiberaceae,Globba,no,Globba racemosa,species,39.7,
Phyllanthaceae,Glochidion,no,Glochidion eriocarpum,species,8,
Phyllanthaceae,Glochidion,no,Glochidion puberum,species,18,
Phyllanthaceae,Glochidion,no,Glochidion wrightii,species,6,
Phyllanthaceae,Glochidion,no,Glochidion zeylanicum,species,14,
Phyllanthaceae,Glochidion,no,Glochidion zeylanicum,species,15,
Bromeliaceae,Glomeropitcairnia,no,Glomeropitcairnia spp.,genus,9,
Colchicaceae,Gloriosa,no,Gloriosa spp.,genus,NA,
Lamiaceae,Glossocarya,no,Glossocarya calcicola,species,4,yes
Lamiaceae,Glossocarya,no,Glossocarya calcicola,species,4,
Lamiaceae,Glossocarya,no,Glossocarya hemiderma,species,4,yes
Lamiaceae,Glossocarya,no,Glossocarya hemiderma,species,4,
Rutaceae,Glycosmis,no,Glycosmis trifoliata,species,3,yes
Rutaceae,Glycosmis,no,Glycosmis trifoliata,species,3.5,
Rutaceae,Glycosmis,no,Glycosmis trifoliata,species,3,
Lamiaceae,Gmelina,no,Gmelina spp.,genus,4,
Asteraceae,Gnaphalium,no,Gnaphalium hoppeanum,species,1,
Asteraceae,Gnaphalium,no,Gnaphalium hoppeanum,species,1,
Brassicaceae,Goldbachia,no,Goldbachia spp.,genus,1,
Brassicaceae,Goldbachia,no,Goldbachia spp.,genus,2,
Gomortegaceae,Gomortega,no,Gomortega spp.,genus,3,
Apocynaceae,Gomphocarpus,no,Gomphocarpus fruticosus,species,107.5,yes
Apocynaceae,Gomphocarpus,no,Gomphocarpus fruticosus,species,107.5,
Amaranthaceae,Gomphrena,no,Gomphrena serrata,species,1,
Amaranthaceae,Gomphrena,no,Gomphrena spp.,genus,1,
Cardiopteridaceae,Gonocaryum,no,Gonocaryum spp.,genus,2,
Apocynaceae,Gonolobus,no,Gonolobus grandiflorus,species,3.9,yes
Apocynaceae,Gonolobus,no,Gonolobus grandiflorus,species,3.9,
Urticaceae,Gonostegia,no,Gonostegia spp.,family,1,
Orchidaceae,Goodyera,no,Goodyera oblongifolia,species,2170,
Orchidaceae,Goodyera,no,Goodyera repens,species,529.005146,
Malvaceae,Gossypium,no,Gossypium australe,species,NA,
Malvaceae,Gossypium,no,Gossypium australe,species,1,
Malvaceae,Gossypium,no,Gossypium barbadense,species,19.6,
Malvaceae,Gossypium,no,Gossypium hirsutum,species,14.5,
Rhamnaceae,Gouania,no,Gouania spp.,genus,3,
Acanthaceae,Graptophyllum,no,Graptophyllum excelsum,species,4,yes
Acanthaceae,Graptophyllum,no,Graptophyllum excelsum,species,4,
Proteaceae,Grevillea,no,Grevillea glauca,species,2,
Proteaceae,Grevillea,no,Grevillea parallela,species,2,
Proteaceae,Grevillea,no,Grevillea spp.,family,1.5,
Malvaceae,Grewia,no,Grewia asiatica,species,6,
Malvaceae,Grewia,no,Grewia occidentalis,species,4,
Malvaceae,Grewia,no,Grewia papuana,species,4,yes
Malvaceae,Grewia,no,Grewia papuana,species,4,
Malvaceae,Grewia,no,Grewia papuana,species,16.25,
Malvaceae,Grewia,no,Grewia retusifolia,species,4,
Francoaceae,Greyia,no,Greyia spp.,genus,NA,
Asteraceae,Grindelia,no,Grindelia hirsutula,species,1,
Griseliniaceae,Griselinia,no,Griselinia spp.,genus,1,
Loasaceae,Gronovia,no,Gronovia scandens,species,1,
Zygophyllaceae,Guaiacum,no,Guaiacum spp.,genus,21,
Annonaceae,Guatteria,no,Guatteria spp.,genus,1,
Rubiaceae,Guettarda,no,Guettarda platypoda,species,2,
Rubiaceae,Guihaiothamnus,no,Guihaiothamnus acaulis,species,339,
Fabaceae,Guilandina,no,Guilandina bonduc,species,2.5,
Fabaceae,Guilandina,no,Guilandina minax,species,7.5,
Gunneraceae,Gunnera,no,Gunnera spp.,genus,1,
Gunneraceae,Gunnera,no,Gunnera spp.,genus,NA,
Lecythidaceae,Gustavia,no,Gustavia spp.,genus,NA,
Bromeliaceae,Guzmania,no,Guzmania spp.,genus,NA,
Ranunculaceae,Gymnaconitum,no,Gymnaconitum gymnandrum,species,106,
Ranunculaceae,Gymnaconitum,no,Gymnaconitum gymnandrum,species,126.9,
Burmanniaceae,Gymnosiphon,no,Gymnosiphon spp.,genus,NA,
Polemoniaceae,Gymnosteris,no,Gymnosteris nudicaulis,species,23.5,
Polemoniaceae,Gymnosteris,no,Gymnosteris parvula,species,14.7,
Saururaceae,Gymnotheca,no,Gymnotheca spp.,genus,40,
Achariaceae,Gynocardia,no,Gynocardia spp.,genus,NA,
