genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure
Ipomoea,Ipomoea cordatotriloba,Ipomoea lacunosa,no,no,Ipomoea02,1.63,1.91,0.0748,0.0658,NA,NA,0.9236,seed set
Ipomopsis,Ipomopsis aggregata,Ipomopsis arizonica,yes2,yes,Ipomopsis,2.96,2.78,0.05,1.49,NA,NA,0.5769,seed set
Ipomopsis,Ipomopsis aggregata,Ipomopsis tenuituba,yes2,yes,NA,6.3,4.5,4.3,5,NA,NA,0.0746,seed set
Ipomopsis,Ipomopsis aggregata,Ipomopsis tenuituba,yes1,yes,NA,NA,NA,NA,NA,0.53,0.5,-0.03,pollen competition
Ipomopsis,Ipomopsis aggregata,Ipomopsis arizonica,yes2,no,Ipomopsis,NA,NA,NA,NA,0,0.4075,0.5925,pollen competition
Ipomopsis,Ipomopsis aggregata,Ipomopsis tenuituba,yes1,no,NA,NA,NA,NA,NA,0.34,0.63,0.03,pollen competition
Iris,Iris atrofusca,Iris mariae,no,no,Iris01,0.52,0.74,0.86,0.73,NA,NA,-0.1158,seed set
Iris,Iris brevicaulis,Iris fulva,no,no,Iris02,NA,NA,NA,NA,0.39,0.24,0.37,pollen competition
Iris,Iris fulva,Iris hexagona,yes2,yes,NA,50,30,33,30,NA,NA,0.1189,seed set
Iris,Iris fulva,Iris hexagona,yes1,yes,NA,NA,NA,NA,NA,0,0,1,pollen competition
Iris,Iris fulva,Iris hexagona,yes1,yes,NA,NA,NA,NA,NA,0.05,0.31,0.64,pollen competition
Iris,Iris fulva,Iris hexagona,yes1,no,NA,NA,NA,NA,NA,0.05,0.3,0.65,pollen competition
Jaltomata,Jaltomata calliantha,Jaltomata darcyana,no,no,NA,60.5986395,33.7777778,0,10.45,NA,NA,0.8006,seed set
Jaltomata,Jaltomata calliantha,Jaltomata dendroidea,no,no,NA,60.5986395,18,0,93.1034483,NA,NA,-0.0845,seed set
Jaltomata,Jaltomata calliantha,Jaltomata grandibaccata,no,no,NA,60.5986395,24.6,0,NA,NA,NA,1,seed set
Jaltomata,Jaltomata calliantha,Jaltomata procumbens,no,no,NA,60.5986395,41.8181818,0,0.36363636,NA,NA,0.9929,seed set
Jaltomata,Jaltomata calliantha,Jaltomata quipuscoae,no,no,NA,60.5986395,112.125,82.5,40.5,NA,NA,0.1681,seed set
Jaltomata,Jaltomata calliantha,Jaltomata repandidentata,no,no,NA,60.5986395,33.9130435,0,16.46875,NA,NA,0.7032,seed set
Jaltomata,Jaltomata calliantha,Jaltomata sinuosa,no,no,NA,60.5986395,68.625,0,90,NA,NA,0.1789,seed set
Jaltomata,Jaltomata calliantha,Jaltomata umbellata,no,no,NA,60.5986395,14.009434,0,4.2,NA,NA,0.8934,seed set
Jaltomata,Jaltomata calliantha,Jaltomata yungayensis,no,no,NA,60.5986395,26.52,0,0,NA,NA,1,seed set
Jaltomata,Jaltomata darcyana,Jaltomata repandidentata,no,no,Jaltomata01,33.7777778,33.9130435,1.66666667,2.30769231,NA,NA,0.8891,seed set
Jaltomata,Jaltomata darcyana,Jaltomata dendroidea,no,no,NA,33.7777778,18,0.85,NA,NA,NA,0.9364,seed set
Jaltomata,Jaltomata darcyana,Jaltomata grandibaccata,no,no,NA,33.7777778,24.6,0.9,NA,NA,NA,0.9402,seed set
Jaltomata,Jaltomata darcyana,Jaltomata procumbens,no,no,NA,33.7777778,41.8181818,3.09677419,0,NA,NA,0.9213,seed set
Jaltomata,Jaltomata darcyana,Jaltomata quipuscoae,no,no,NA,33.7777778,112.125,5.4375,0.95833333,NA,NA,0.916,seed set
Jaltomata,Jaltomata darcyana,Jaltomata sinuosa,no,no,NA,33.7777778,68.625,0,42.8275862,NA,NA,0.4102,seed set
Jaltomata,Jaltomata darcyana,Jaltomata umbellata,no,no,NA,33.7777778,14.009434,0.375,0.4,NA,NA,0.9681,seed set
Jaltomata,Jaltomata darcyana,Jaltomata yungayensis,no,no,NA,33.7777778,26.52,1.79166667,0,NA,NA,0.9423,seed set
Jaltomata,Jaltomata dendroidea,Jaltomata umbellata,no,no,Jaltomata02,18,14.009434,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata dendroidea,Jaltomata procumbens,no,no,NA,18,41.8181818,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata dendroidea,Jaltomata quipuscoae,no,no,NA,18,112.125,134,0.375,NA,NA,-0.0161,seed set
Jaltomata,Jaltomata dendroidea,Jaltomata repandidentata,no,no,NA,18,33.9130435,NA,0.54166667,NA,NA,0.9591,seed set
Jaltomata,Jaltomata dendroidea,Jaltomata sinuosa,no,no,NA,18,68.625,NA,45,NA,NA,-0.0191,seed set
Jaltomata,Jaltomata dendroidea,Jaltomata yungayensis,no,no,NA,18,26.52,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata grandibaccata,Jaltomata procumbens,no,no,NA,24.6,41.8181818,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata grandibaccata,Jaltomata quipuscoae,no,no,NA,24.6,112.125,NA,4.8125,NA,NA,0.8685,seed set
Jaltomata,Jaltomata grandibaccata,Jaltomata repandidentata,no,no,NA,24.6,33.9130435,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata grandibaccata,Jaltomata sinuosa,no,no,NA,24.6,68.625,NA,77.3541667,NA,NA,-0.248,seed set
Jaltomata,Jaltomata grandibaccata,Jaltomata umbellata,no,no,NA,24.6,14.009434,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata grandibaccata,Jaltomata yungayensis,no,no,NA,24.6,26.52,NA,0,NA,NA,1,seed set
Jaltomata,Jaltomata procumbens,Jaltomata quipuscoae,no,no,NA,41.8181818,112.125,0,2.29166667,NA,NA,0.9707,seed set
Jaltomata,Jaltomata procumbens,Jaltomata repandidentata,no,no,NA,41.8181818,33.9130435,0.87719298,9,NA,NA,0.7692,seed set
Jaltomata,Jaltomata procumbens,Jaltomata sinuosa,no,no,NA,41.8181818,68.625,0,50.1923077,NA,NA,0.3751,seed set
Jaltomata,Jaltomata procumbens,Jaltomata umbellata,no,no,NA,41.8181818,14.009434,2.28571429,0,NA,NA,0.9213,seed set
Jaltomata,Jaltomata procumbens,Jaltomata yungayensis,no,no,NA,41.8181818,26.52,0,0,NA,NA,1,seed set
Jaltomata,Jaltomata quipuscoae,Jaltomata repandidentata,no,no,NA,112.125,33.9130435,0.3125,17.4166667,NA,NA,0.7835,seed set
Jaltomata,Jaltomata quipuscoae,Jaltomata sinuosa,no,no,NA,112.125,68.625,0,74,NA,NA,0.419,seed set
Jaltomata,Jaltomata quipuscoae,Jaltomata umbellata,no,no,NA,112.125,14.009434,5.72916667,0,NA,NA,0.9131,seed set
Jaltomata,Jaltomata quipuscoae,Jaltomata yungayensis,no,no,NA,112.125,26.52,1.60416667,0,NA,NA,0.9771,seed set
Jaltomata,Jaltomata repandidentata,Jaltomata sinuosa,no,no,NA,33.9130435,68.625,0.13333333,47,NA,NA,0.3702,seed set
Jaltomata,Jaltomata repandidentata,Jaltomata umbellata,no,no,NA,33.9130435,14.009434,1.33333333,NA,NA,NA,0.8946,seed set
Jaltomata,Jaltomata repandidentata,Jaltomata yungayensis,no,no,NA,33.9130435,26.52,0,0,NA,NA,1,seed set
Jaltomata,Jaltomata sinuosa,Jaltomata umbellata,yes1,yes,NA,68.625,14.009434,71,2.16666667,NA,NA,0.0608,seed set
Jaltomata,Jaltomata sinuosa,Jaltomata yungayensis,no,no,Jaltomata03,68.625,26.52,46.125,0,NA,NA,0.347,seed set
Jaltomata,Jaltomata sinuosa,Jaltomata umbellata,yes1,no,NA,74.87,30.44,36.06,36.06,NA,NA,0.1871,seed set
Jaltomata,Jaltomata umbellata,Jaltomata yungayensis,no,no,NA,14.009434,26.52,0,0,NA,NA,1,seed set
Kalmia,Kalmia angustifolia,Kalmia polifolia,no,no,Kalmia01,36,69.5,7,2,NA,NA,0.8428,fruit set
Kalmia,Kalmia angustifolia,Kalmia cuneata,no,no,NA,36,1,4,0,NA,NA,0.8049,fruit set
Kalmia,Kalmia angustifolia,Kalmia hirsuta,no,no,NA,36,24,3,13,NA,NA,0.5789,fruit set
Kalmia,Kalmia angustifolia,Kalmia latifolia,no,no,NA,36,62,18,0,NA,NA,0.6897,fruit set
Kalmia,Kalmia cuneata,Kalmia hirsuta,no,no,NA,1,24,0,12,NA,NA,0.3514,fruit set
Kalmia,Kalmia cuneata,Kalmia latifolia,no,no,NA,1,62,0,0,NA,NA,1,fruit set
Kalmia,Kalmia cuneata,Kalmia polifolia,no,no,NA,1,69.5,0,0,NA,NA,1,fruit set
Kalmia,Kalmia hirsuta,Kalmia latifolia,no,no,Kalmia02,24,62,18,7,NA,NA,0.5495,fruit set
Kalmia,Kalmia hirsuta,Kalmia polifolia,no,no,NA,24,69.5,2.5,0,NA,NA,0.9479,fruit set
Kalmia,Kalmia latifolia,Kalmia polifolia,no,no,NA,62,69.5,0,11,NA,NA,0.8456,fruit set
Lactuca,Lactuca saligna,Lactuca serriola,no,no,NA,100,100,30,5,NA,NA,0.7021,fruit set
Lactuca,Lactuca virosa,Lactuca saligna,no,no,Lactuca,43,100,0,0,NA,NA,1,fruit set
Lactuca,Lactuca virosa,Lactuca serriola,no,no,NA,43,100,37,62,NA,NA,0.1818,fruit set
Leavenworthia,Leavenworthia alabamica,Leavenworthia crassa,no,no,Leavenworthia,0.38,0.46,0.41,0.46,NA,NA,-0.0175,seed set
Leptosiphon,Leptosiphon nuttallii,Leptosiphon floribundus,no,no,Leptosiphon01,23.54545455,47.83333333,1,1,NA,NA,0.9455,seed set
Leptosiphon,Leptosiphon pachyphyllus,Leptosiphon melingii,no,no,Leptosiphon02,45.66666667,36,6,8,NA,NA,0.7073,seed set
Leucaena,Leucaena collinsii,Leucaena lanceolata,no,no,Leucaena01,46.7,80.9,54,43,NA,NA,0.1362,seed set
Leucaena,Leucaena collinsii,Leucaena diversifolia,no,no,NA,46.7,28.5,0.2,23,NA,NA,0.5285,seed set
Leucaena,Leucaena collinsii,Leucaena esculenta,no,no,NA,46.7,7,2.2,0,NA,NA,0.9213,seed set
Leucaena,Leucaena collinsii,Leucaena greggii,no,no,NA,46.7,18,0.07,0,NA,NA,0.9978,seed set
Leucaena,Leucaena collinsii,Leucaena macrophylla,no,no,NA,46.7,22,7,21,NA,NA,0.4209,seed set
Leucaena,Leucaena collinsii,Leucaena multicapitula,no,no,NA,46.7,37.7,8,3.2,NA,NA,0.7657,seed set
Leucaena,Leucaena collinsii,Leucaena pulverulenta,no,no,NA,46.7,93.4,8,78,NA,NA,0.2393,seed set
Leucaena,Leucaena collinsii,Leucaena retusa,no,no,NA,46.7,70.2,0,6,NA,NA,0.9024,seed set
Leucaena,Leucaena collinsii,Leucaena salvadorensis,no,no,NA,46.7,68.2,2.9,14,NA,NA,0.7436,seed set
Leucaena,Leucaena collinsii,Leucaena shannonii,no,no,NA,46.7,17,17,18,NA,NA,0.2908,seed set
Leucaena,Leucaena collinsii,Leucaena trichodes,no,no,NA,46.7,37.7,0,6,NA,NA,0.8673,seed set
Leucaena,Leucaena diversifolia,Leucaena pulverulenta,no,no,Leucaena02,28.5,93.4,8,3.3,NA,NA,0.8303,seed set
Leucaena,Leucaena diversifolia,Leucaena esculenta,no,no,NA,28.5,7,2.2,0,NA,NA,0.8833,seed set
Leucaena,Leucaena diversifolia,Leucaena greggii,no,no,NA,28.5,18,1.1,0,NA,NA,0.9538,seed set
Leucaena,Leucaena diversifolia,Leucaena lanceolata,no,no,NA,28.5,80.9,31,2.5,NA,NA,0.5311,seed set
Leucaena,Leucaena diversifolia,Leucaena leucocephala,no,no,NA,54.2,131.1,53,73,NA,NA,0.1905,seed set
Leucaena,Leucaena diversifolia,Leucaena macrophylla,no,no,NA,28.5,22,7,1.8,NA,NA,0.7032,seed set
Leucaena,Leucaena diversifolia,Leucaena multicapitula,no,no,NA,28.5,37.7,19,0,NA,NA,0.554,seed set
Leucaena,Leucaena diversifolia,Leucaena pallida,no,no,NA,54.2,14.8,18,14,NA,NA,0.3663,seed set
Leucaena,Leucaena diversifolia,Leucaena retusa,no,no,NA,28.5,70.2,0,0,NA,NA,1,seed set
Leucaena,Leucaena diversifolia,Leucaena salvadorensis,no,no,NA,28.5,68.2,8,0,NA,NA,0.8472,seed set
Leucaena,Leucaena diversifolia,Leucaena shannonii,no,no,NA,28.5,17,21,12,NA,NA,0.1592,seed set
Leucaena,Leucaena diversifolia,Leucaena trichodes,no,no,NA,28.5,37.7,0,0.8,NA,NA,0.9761,seed set
Leucaena,Leucaena esculenta,Leucaena greggii,no,no,NA,7,18,0,NA,NA,NA,1,seed set
Leucaena,Leucaena esculenta,Leucaena lanceolata,no,no,NA,7,80.9,0,0,NA,NA,1,seed set
Leucaena,Leucaena esculenta,Leucaena macrophylla,no,no,NA,7,22,0,0,NA,NA,1,seed set
Leucaena,Leucaena esculenta,Leucaena multicapitula,no,no,NA,7,37.7,0,0,NA,NA,1,seed set
Leucaena,Leucaena esculenta,Leucaena pulverulenta,no,no,NA,7,93.4,0,4.9,NA,NA,0.9069,seed set
Leucaena,Leucaena esculenta,Leucaena retusa,no,no,NA,7,70.2,0,21,NA,NA,0.5723,seed set
Leucaena,Leucaena esculenta,Leucaena salvadorensis,no,no,NA,7,68.2,0.07,20,NA,NA,0.5787,seed set
Leucaena,Leucaena esculenta,Leucaena shannonii,no,no,NA,7,17,2,2.3,NA,NA,0.6961,seed set
Leucaena,Leucaena esculenta,Leucaena trichodes,no,no,NA,7,37.7,0,0,NA,NA,1,seed set
Leucaena,Leucaena greggii,Leucaena retusa,no,no,Leucaena03,18,70.2,0.5,77,NA,NA,0.0646,seed set
Leucaena,Leucaena greggii,Leucaena lanceolata,no,no,NA,18,80.9,3,4.4,NA,NA,0.8608,seed set
Leucaena,Leucaena greggii,Leucaena macrophylla,no,no,NA,18,22,0,0,NA,NA,1,seed set
Leucaena,Leucaena greggii,Leucaena pulverulenta,no,no,NA,18,93.4,0,2.2,NA,NA,0.9613,seed set
Leucaena,Leucaena greggii,Leucaena salvadorensis,no,no,NA,18,68.2,0,0,NA,NA,1,seed set
Leucaena,Leucaena greggii,Leucaena shannonii,no,no,NA,18,17,0,4.5,NA,NA,0.7722,seed set
Leucaena,Leucaena greggii,Leucaena trichodes,no,no,NA,18,37.7,0,NA,NA,NA,1,seed set
Leucaena,Leucaena lanceolata,Leucaena macrophylla,no,no,NA,80.9,22,7,4.5,NA,NA,0.799,seed set
Leucaena,Leucaena lanceolata,Leucaena multicapitula,no,no,NA,80.9,37.7,24,36,NA,NA,0.3281,seed set
Leucaena,Leucaena lanceolata,Leucaena pulverulenta,no,no,NA,80.9,93.4,16,63,NA,NA,0.3762,seed set
Leucaena,Leucaena lanceolata,Leucaena retusa,no,no,NA,80.9,70.2,0,0.5,NA,NA,0.9934,seed set
Leucaena,Leucaena lanceolata,Leucaena salvadorensis,no,no,NA,80.9,68.2,21,32,NA,NA,0.4755,seed set
Leucaena,Leucaena lanceolata,Leucaena shannonii,no,no,NA,80.9,17,50,7,NA,NA,0.264,seed set
Leucaena,Leucaena lanceolata,Leucaena trichodes,no,no,NA,80.9,37.7,1.4,20,NA,NA,0.6943,seed set
Leucaena,Leucaena leucocephala,Leucaena pallida,no,no,Leucaena04,131.1,14.8,31,37,NA,NA,0.3642,seed set
Leucaena,Leucaena macrophylla,Leucaena trichodes,no,no,Leucaena05,22,37.7,16,2.1,NA,NA,0.5347,seed set
Leucaena,Leucaena macrophylla,Leucaena multicapitula,no,no,NA,22,37.7,11,54,NA,NA,-0.0425,seed set
Leucaena,Leucaena macrophylla,Leucaena pulverulenta,no,no,NA,22,93.4,4.9,9,NA,NA,0.785,seed set
Leucaena,Leucaena macrophylla,Leucaena retusa,no,no,NA,22,70.2,0,0,NA,NA,1,seed set
Leucaena,Leucaena macrophylla,Leucaena salvadorensis,no,no,NA,22,68.2,0,0,NA,NA,1,seed set
Leucaena,Leucaena macrophylla,Leucaena shannonii,no,no,NA,22,17,0,0,NA,NA,1,seed set
Leucaena,Leucaena multicapitula,Leucaena salvadorensis,no,no,Leucaena06,37.7,68.2,1.4,0,NA,NA,0.9739,seed set
Leucaena,Leucaena multicapitula,Leucaena pulverulenta,no,no,NA,37.7,93.4,0,0,NA,NA,1,seed set
Leucaena,Leucaena multicapitula,Leucaena retusa,no,no,NA,37.7,70.2,0,0,NA,NA,1,seed set
Leucaena,Leucaena multicapitula,Leucaena shannonii,no,no,NA,37.7,17,0,0,NA,NA,1,seed set
Leucaena,Leucaena multicapitula,Leucaena trichodes,no,no,NA,37.7,37.7,12,21,NA,NA,0.3911,seed set
Leucaena,Leucaena pulverulenta,Leucaena retusa,no,no,NA,93.4,70.2,1.2,6,NA,NA,0.9157,seed set
Leucaena,Leucaena pulverulenta,Leucaena salvadorensis,no,no,NA,93.4,68.2,0,6,NA,NA,0.9284,seed set
Leucaena,Leucaena pulverulenta,Leucaena shannonii,no,no,NA,93.4,17,30,1.2,NA,NA,0.5593,seed set
Leucaena,Leucaena pulverulenta,Leucaena trichodes,no,no,NA,93.4,37.7,0,0.8,NA,NA,0.9879,seed set
Leucaena,Leucaena retusa,Leucaena salvadorensis,no,no,NA,70.2,68.2,32,0,NA,NA,0.6244,seed set
Leucaena,Leucaena retusa,Leucaena shannonii,no,no,NA,70.2,17,49,0.2,NA,NA,0.2786,seed set
Leucaena,Leucaena retusa,Leucaena trichodes,no,no,NA,70.2,37.7,0,0,NA,NA,1,seed set
Leucaena,Leucaena salvadorensis,Leucaena shannonii,no,no,NA,68.2,17,17,5.6,NA,NA,0.5807,seed set
Leucaena,Leucaena salvadorensis,Leucaena trichodes,no,no,NA,68.2,37.7,0,0,NA,NA,1,seed set
Leucaena,Leucaena shannonii,Leucaena trichodes,no,no,NA,17,37.7,0,1.1,NA,NA,0.9606,seed set
Lupinus,Lupinus palaestinus,Lupinus pilosus,no,no,Lupinus,0.008,0.17,0.03,0.004,NA,NA,0.6792,seed set
Lythrum,Lythrum alatum,Lythrum salicaria,no,no,Lythrum,40.28,NA,0.69,NA,NA,NA,0.9663,seed set
Mussaenda,Mussaenda pubescens,Mussaenda kwangtungensis,no,no,Mussaenda,93,94.5,23.9,20.9,NA,NA,0.6143,fruit set
Narcissus,Narcissus miniatus,Narcissus cavanillesii,no,no,Narcissus,6.96,2.21,0.29,2.43,NA,NA,0.5425,seed set
Neotinea,Neotinea ustulata,Neotinea tridentata,no,no,Neotinea,0.81,0.81,0.74,0.73,NA,NA,0.0485,seed number per fruit
Nicotiana,Nicotiana bonariensis,Nicotiana forgetiana,no,no,Nicotiana01,0.9,1,0.5,0.4,NA,NA,0.3571,fruit set
Nicotiana,Nicotiana bonariensis,Nicotiana alata,no,no,NA,0.9,1,0.1,0,NA,NA,0.9,fruit set
Nicotiana,Nicotiana bonariensis,Nicotiana langsdorffii,no,no,NA,0.9,1,0.9,1,NA,NA,0,fruit set
Nicotiana,Nicotiana bonariensis,Nicotiana mutabilis,no,no,NA,0.9,0.8,1,0.9,NA,NA,-0.0556,fruit set
Nicotiana,Nicotiana forgetiana,Nicotiana alata,no,no,NA,1,1,1,1,NA,NA,0,fruit set
Nicotiana,Nicotiana langsdorffii,Nicotiana alata,no,no,Nicotiana02,1,1,0.8,0.6,NA,NA,0.1765,fruit set
Nicotiana,Nicotiana langsdorffii,Nicotiana forgetiana,no,no,NA,1,1,0.9,0.8,NA,NA,0.0811,fruit set
Nicotiana,Nicotiana longiflora,Nicotiana alata,no,no,NA,0.9,1,0.9,0,NA,NA,0.3571,fruit set
Nicotiana,Nicotiana longiflora,Nicotiana bonariensis,no,no,NA,0.9,0.9,0,0,NA,NA,1,fruit set
Nicotiana,Nicotiana longiflora,Nicotiana forgetiana,no,no,NA,0.9,1,0,0,NA,NA,1,fruit set
Nicotiana,Nicotiana longiflora,Nicotiana langsdorffii,no,no,NA,0.9,1,0,0,NA,NA,1,fruit set
Nicotiana,Nicotiana longiflora,Nicotiana mutabilis,no,no,NA,0.9,0.8,0,0,NA,NA,1,fruit set
Nicotiana,Nicotiana mutabilis,Nicotiana alata,no,no,NA,0.8,1,0.7,0.5,NA,NA,0.2,fruit set
Nicotiana,Nicotiana mutabilis,Nicotiana forgetiana,no,no,NA,0.8,1,0.9,0.9,NA,NA,0,fruit set
Nicotiana,Nicotiana mutabilis,Nicotiana langsdorffii,no,no,NA,0.8,1,0.8,0.8,NA,NA,0.0588,fruit set
Nicotiana,Nicotiana plumbaginifolia,Nicotiana longiflora,yes2,yes,Nicotiana03,0.8,0.9,0.9,0.7,NA,NA,0.0303,fruit set
Nicotiana,Nicotiana plumbaginifolia,Nicotiana longiflora,yes2,no,Nicotiana03,NA,NA,NA,NA,0.9261,0.0245,0.0494,pollen competition
Nicotiana,Nicotiana plumbaginifolia,Nicotiana alata,no,no,NA,0.8,1,1,0,NA,NA,0.2857,fruit set
Nicotiana,Nicotiana plumbaginifolia,Nicotiana bonariensis,no,no,NA,0.8,0.9,0.5,0,NA,NA,0.5455,fruit set
Nicotiana,Nicotiana plumbaginifolia,Nicotiana forgetiana,no,no,NA,0.8,1,1,0,NA,NA,0.2857,fruit set
Nicotiana,Nicotiana plumbaginifolia,Nicotiana langsdorffii,no,no,NA,0.8,1,1,0,NA,NA,0.2857,fruit set
Nicotiana,Nicotiana plumbaginifolia,Nicotiana mutabilis,no,no,NA,0.8,0.8,0.9,0,NA,NA,0.28,fruit set
Oenothera,Oenothera hexandra,Oenothera suffulta,no,no,Oenothera,47,98,52,52,NA,NA,0.1647,fruit set
Oenothera,Oenothera patriciae,Oenothera hexandra,no,no,NA,100,47,67,67,NA,NA,0.0463,fruit set
Oenothera,Oenothera patriciae,Oenothera suffulta,no,no,NA,100,98,96,96,NA,NA,0.0154,fruit set
Ophrys,Ophrys holoserica,Ophrys tenthredinifera,no,no,Ophrys,50.136,42.92517,35.4975,21.9961,NA,NA,0.2362,seed set
Opuntia,Opuntia elata,Opuntia anacantha,no,no,Opuntia,55.6,66.7,40,60,NA,NA,0.1003,fruit set
Orchis,Orchis italica,Orchis anthropophora,no,no,Orchis02,NA,NA,NA,NA,0,0,1,pollen competition
Orchis,Orchis mascula,Orchis provincialis,no,no,Orchis01,0.93,0.94,0,0,NA,NA,1,fruit set
Orchis,Orchis mascula,Orchis pauciflora,no,no,NA,NA,NA,NA,NA,0.9444,0.9524,-0.8968,pollen competition
Ostryopsis,Ostryopsis davidiana,Ostryopsis nobilis,no,no,Ostryopsis,86.11,92.91,8.19,13.69,NA,NA,0.7822,fruit set
Ostryopsis,Ostryopsis intermedia,Ostryopsis davidiana,no,no,NA,95.9,86.11,23.18,13.89,NA,NA,0.6616,fruit set
Ostryopsis,Ostryopsis intermedia,Ostryopsis nobilis,no,no,NA,95.9,92.91,16.78,14.79,NA,NA,0.7135,fruit set
Oxalis,Oxalis blastorrhiza,Oxalis metcalfei,no,no,NA,7,4,2,1.5,NA,NA,0.5172,seed set
Oxalis,Oxalis blastorrhiza,Oxalis tenella,no,no,NA,7,3.82,1,NA,NA,NA,0.688,seed set
Oxalis,Oxalis campicola,Oxalis xantha,no,no,Oxalis01,10,16.36,10,13.83,NA,NA,0.0504,seed set
Oxalis,Oxalis metcalfei,Oxalis gracilis,no,no,Oxalis02,4,5.6,3,NA,NA,NA,0.2308,seed set
Oxalis,Oxalis noctiflora,Oxalis blastorrhiza,no,no,NA,5,7,2,NA,NA,NA,0.5,seed set
Oxalis,Oxalis noctiflora,Oxalis tenella,no,no,NA,5,3.82,2,7,NA,NA,-0.0101,seed set
Pedicularis,Pedicularis comptoniifolia,Pedicularis tenuisecta,no,no,NA,53.1,35.3,0,1.1,NA,NA,0.9754,fruit set
Pedicularis,Pedicularis cranolopha,Pedicularis tricolor,no,no,Pedicularis01,0.1992,0.2464,0.0782,0.0368,NA,NA,0.5897,seed set
Pedicularis,Pedicularis gruina,Pedicularis tenuisecta,no,no,Pedicularis02,33.3,35.5,9.2,9.9,NA,NA,0.5654,fruit set
Pedicularis,Pedicularis rhinanthoides,Pedicularis longiflora,no,no,NA,NA,NA,0,NA,NA,NA,1,seed set
Pelargonium,Pelargonium pinnatum,Pelargonium carneum,no,no,Pelargonium,0.59,0.78,0,0,NA,NA,1,seed set
Penstemon,Penstemon davidsonii,Penstemon newberryi,no,no,Penstemon,49.15,36.28,65.62,31.81,NA,NA,-0.0656,seed set
Petunia,Petunia axillaris,Petunia integrifolia,no,no,Petunia,53.4,8.6,15.7,1.4,NA,NA,0.5676,seed set
Phlox,Phlox amoena,Phlox divaricata,no,no,Phlox01,69,65.1666667,26,30.5,NA,NA,0.4073,seed set
Phlox,Phlox amoena,Phlox drummondii,no,no,NA,69,65,1,0,NA,NA,0.9852,seed set
Phlox,Phlox amoena,Phlox pilosa,no,no,NA,69,44.34,36,35.3333,NA,NA,0.2275,seed set
Phlox,Phlox cuspidata,Phlox drummondii,yes1,yes,NA,65,65,17,17,NA,NA,0.5854,seed set
Phlox,Phlox cuspidata,Phlox roemeriana,no,no,Phlox02,1.5,1.65,0.97,0.6,NA,NA,0.3347,seed set
Phlox,Phlox cuspidata,Phlox drummondii,yes1,no,NA,1.5,1.63,1.5,0.67,NA,NA,0.1811,seed set
Phlox,Phlox divaricata,Phlox drummondii,no,no,NA,65.1666667,65,27,46,NA,NA,0.2814,seed set
Phlox,Phlox divaricata,Phlox pilosa,no,no,NA,65.1666667,44.34,45.2,40.2,NA,NA,0.1237,seed set
Phlox,Phlox drummondii,Phlox roemeriana,no,no,NA,1.63,1.65,0.59,1.38,NA,NA,0.2495,seed set
Phlox,Phlox maculata,Phlox glaberrima,no,no,NA,NA,61,20,30,NA,NA,0.4186,seed set
Phlox,Phlox pilosa,Phlox drummondii,no,no,NA,44.34,65,14.5,19,NA,NA,0.5309,seed set
Platanthera,Platanthera bifolia,Platanthera chlorantha,no,no,Platanthera,3008,4071,4188,5090,NA,NA,-0.1344,seed set
Potamogeton,Potamogeton perfoliatus,Potamogeton wrightii,no,no,Potamogeton,32.57,48.93,41,41.37,NA,NA,-0.0053,seed set
Primula,Primula elatior,Primula vulgaris,no,no,Primula01,4.2,23.5,1.75,2.925,NA,NA,0.7112,seed set
Primula,Primula poissonii,Primula anisodora,no,no,NA,13.51,11.18,4.96,2.66,NA,NA,0.5283,seed set
Quercus,Quercus gambelii,Quercus grisea,no,no,NA,0.193,0.265,0.096,0.043,NA,NA,0.5343,fruit set
Quercus,Quercus petraea,Quercus pyrenaica,no,no,NA,8.1,11.6,0,9.9,NA,NA,0.3311,fruit set
Quercus,Quercus robur,Quercus petraea,no,no,Quercus01,52.4,8.1,31.6,0,NA,NA,0.3138,fruit set
Quercus,Quercus robur,Quercus pyrenaica,no,no,NA,52.4,11.6,6,8.1,NA,NA,0.6389,fruit set
Rhinanthus,Rhinanthus minor,Rhinanthus major,yes2,yes,Rhinanthus,5.93,NA,3.85,0.94,NA,NA,0.4246,seed set
Rhinanthus,Rhinanthus minor,Rhinanthus major,yes2,no,Rhinanthus,NA,NA,NA,NA,0.299,0.269,0.432,pollen competition
Rhododendron,Rhododendron cyanocarpum,Rhododendron delavayi,no,no,NA,508.095,666.06,127.13,552.065,NA,NA,0.2671,seed set
Rhododendron,Rhododendron spiciferum,Rhododendron spinuliferum,no,no,Rhododendron01,0.6925,0.7155,0.7245,0.7985,NA,NA,-0.0392,seed set
Roscoea,Roscoea purpurea,Roscoea tumjensis,no,no,Roscoea,0.555,0.377,0.522,0.437,NA,NA,-0.0143,seed set
Sagittaria,Sagittaria guayanensis,Sagittaria platyphylla,no,no,NA,87.11,91.6,0,0,NA,NA,1,seed set
